"inventory_id","tree_id","tree_tag","tree_sp","tree_sp_scientific_name","tree_sp_vernacular_name","tree_status","tree_status_label","tree_dbh","tree_firedamage","tree_burn","tree_ht","tree_htlcb","tree_resprouting","tree_decay_class","tree_decay_class_label","treepost_scorch_m","treepost_scorch_per","treepost_torch_m","treepost_torch_per","treepost_bole_char_m","tree_notes"
"143_pre_SHA_burn3d","1","204","ABCO","Abies concolor",,"Live","Live","8.2",,"false","4","0.5",,,,,,,,,
"143_pre_SHA_burn3d","2","205","ABCO","Abies concolor",,"Live","Live","54.6",,"false","24","5",,,,,,,,,
"143_pre_SHA_burn3d","3","206","ABCO","Abies concolor",,"Live","Live","86.9",,"false","27","5",,,,,,,,,
"143_pre_SHA_burn3d","4","207","ABCO","Abies concolor",,"Live","Live","21.7",,"false","9","0.5",,,,,,,,,
"143_pre_SHA_burn3d","5","208","ABCO","Abies concolor",,"Live","Live","45.3",,"false","17","9",,,,,,,,,
"143_pre_SHA_burn3d","6","209","CADE","Calocedrus decurrens",,"Live","Live","70.7",,"false","19","5",,,,,,,,,
"143_pre_SHA_burn3d","7","A","ABCO","Abies concolor",,"Dead","Dead","8.4",,"false","4",,,"1","1. All limbs and branches presents. Top pointed. 100% of bark remaining. Intact Sapwood presence and sound, incipient decay, hard, original color. Heartwood sound, hard, origonal color.",,,,,,
"143_pre_SHA_burn3d","8","210","ABCO","Abies concolor",,"Live","Live","7.8",,"false","6","4",,,,,,,,,
"143_pre_SHA_burn3d","9","211","ABCO","Abies concolor",,"Live","Live","11.3",,"false","6","2",,,,,,,,,
"143_pre_SHA_burn3d","10","212","ABCO","Abies concolor",,"Live","Live","22.4",,"false","8","0.5",,,,,,,,,
"143_pre_SHA_burn3d","11","B","CADE","Calocedrus decurrens",,"Dead","Dead","29.7",,"false","3",,,"2","2. Few limbs, no fine brances. Top bronken. Percentatge of bark remaining variable. Sloughing sapwood presence and advanced decay, fibrous, firm to soft, light brown. Heartwood soud at base, incipient decay in outer edge of upper bole, hard, light to red brown.",,,,,,
"143_pre_SHA_burn3d","12","C","ABCO","Abies concolor",,"Dead","Dead","12.8",,"false","7",,,"1","1. All limbs and branches presents. Top pointed. 100% of bark remaining. Intact Sapwood presence and sound, incipient decay, hard, original color. Heartwood sound, hard, origonal color.",,,,,,
"143_pre_SHA_burn3d","13","213","ABCO","Abies concolor",,"Live","Live","16.2",,"false","8","1.8",,,,,,,,,
"143_pre_SHA_burn3d","14","214","ABCO","Abies concolor",,"Live","Live","9.2",,"false","4","0",,,,,,,,,
"140_pre_SHA_burn3d","1","87","SALIX","Salix sp.",,"Live","Live","44.8",,"false","8","5",,,,,,,,,"All unlisted trees are Salix spp. Witness tree due to stability and proximity to 0 azimuth "
"140_pre_SHA_burn3d","2","86","SALIX","Salix sp.",,"Live","Live","20.1",,"false","8","4",,,,,,,,,
"140_pre_SHA_burn3d","3","88","SALIX","Salix sp.",,"Live","Live","44.8",,"false","8","5",,,,,,,,,"Wood decay"
"140_pre_SHA_burn3d","4","89","SALIX","Salix sp.",,"Live","Live","44.8",,"false","8","5",,,,,,,,,
"140_pre_SHA_burn3d","5","90","SALIX","Salix sp.",,"Live","Live","44.8",,"false","8","5",,,,,,,,,
"140_pre_SHA_burn3d","6","91","SALIX","Salix sp.",,"Live","Live","44.8",,"false","8","5",,,,,,,,,
"140_pre_SHA_burn3d","7","92","CADE","Calocedrus decurrens",,"Live","Live","10.2",,"false","5","0.5",,,,,,,,,
"140_pre_SHA_burn3d","8","93","CADE","Calocedrus decurrens",,"Live","Live","10.6",,"false","5","0.2",,,,,,,,,
"140_pre_SHA_burn3d","9","94","CADE","Calocedrus decurrens",,"Live","Live","9.4",,"false","4","0.7",,,,,,,,,
"140_pre_SHA_burn3d","10","95","PIJE","Pinus jeffreyi",,"Live","Live","25.8",,"false","10","0.3",,,,,,,,,
"140_pre_SHA_burn3d","11","96","CONU","Cornus nuttalii",,"Live","Live","64.6",,"true","19","2",,,,"0","0","0","0","2",
"140_pre_SHA_burn3d","12","97","PIJE","Pinus jeffreyi",,"Live","Live","18.1",,"false","8","0.7",,,,,,,,,
"140_pre_SHA_burn3d","13","199","PILA","Pinus lambertiana",,"Live","Live","20.3",,"false","6","1.5",,,,,,,,,
"140_pre_SHA_burn3d","14","98","SALIX","Salix sp.",,"Live","Live","18.7",,"false","8","2",,,,,,,,,"Salix spp for the others unlisted as well"
"140_pre_SHA_burn3d","15","200","SALIX","Salix sp.",,"Live","Live","18.7",,"false","8","2",,,,,,,,,
"140_pre_SHA_burn3d","16","201","SALIX","Salix sp.",,"Live","Live","18.7",,"false","8","2",,,,,,,,,
"140_pre_SHA_burn3d","17","202","SALIX","Salix sp.",,"Live","Live","18.7",,"false","8","2",,,,,,,,,
"140_pre_SHA_burn3d","18","203","SALIX","Salix sp.",,"Live","Live","18.7",,"false","8","2",,,,,,,,,
"152_pre_SHA_burn3d","1","73","ABCO","Abies concolor",,"Live","Live","29.8",,"false","21","2",,,,,,,,,
"152_pre_SHA_burn3d","2","74","CADE","Calocedrus decurrens",,"Live","Live","87.5",,"true","27","8",,,,"0","0","0","0","6",
"152_pre_SHA_burn3d","3","75","ABCO","Abies concolor",,"Live","Live","9.1",,"false","5","1.5",,,,,,,,,
"152_pre_SHA_burn3d","4","76","ABCO","Abies concolor",,"Live","Live","22",,"false","11","1.5",,,,,,,,,
"152_pre_SHA_burn3d","5","77","ABCO","Abies concolor",,"Live","Live","12",,"false","7","0",,,,,,,,,
"152_pre_SHA_burn3d","6","78","ABCO","Abies concolor",,"Live","Live","8.8",,"false","5","0",,,,,,,,,
"152_pre_SHA_burn3d","7","79","CADE","Calocedrus decurrens",,"Live","Live","46",,"true","16","2",,,,"0","0","0","0","1",
"152_pre_SHA_burn3d","8","80","CADE","Calocedrus decurrens",,"Live","Live","56",,"false","22","8",,,,,,,,,
"152_pre_SHA_burn3d","9","81","CADE","Calocedrus decurrens",,"Live","Live","120",,"false","27","4",,,,,,,,,
"152_pre_SHA_burn3d","10","82","CADE","Calocedrus decurrens",,"Live","Live","91",,"true","27","9",,,,"0","0","0","0","2",
